Pakke,NorlysPakkeloesningOTT_pakker,NorlysVaelg4OTT_binaer,NorlysVaelg8OTT_binaer,NorlysVaelg20OTT_binaer
Lille pakke,339.0,,,
Mellem pakke,579.0,,,
Stor pakke,839.0,,,
Basispris,,279.0,429.0,679.0
